"CompraID","FechaCompra","ProveedorID","ProductoID","Cantidad","PrecioCompra"
"1","2023-09-05","1","16","18",NULL
"2","2024-03-09","2","20","19",NULL
"3","2023-07-01","2","15","9",NULL
"4","2023-04-13","7","1","6",NULL
"5","2023-11-12","7","15","1",NULL
"6","2024-05-12","8","17","8",NULL
"7","2023-08-22","20","13","2",NULL
"8","2024-04-02","20","6","9",NULL
"9","2023-01-28","10","19","6",NULL
"10","2024-08-13","10","15","13",NULL
"11","2024-09-04","10","22","1",NULL
"12","2023-04-19","19","7","16",NULL
"13","2023-08-25","20","13","15",NULL
"14","2024-03-27","19","7","7",NULL
"15","2024-05-19","4","14","12",NULL
"16","2024-05-21","4","15","14",NULL
"17","2024-07-07","4","23","16",NULL
"18","2024-05-25","15","4","6",NULL
"19","2023-02-22","22","4","14",NULL
"20","2024-06-25","15","4","11",NULL
"21","2023-04-28","15","15","9",NULL
"22","2023-10-24","4","14","10",NULL
"23","2023-11-07","20","13","11",NULL
"24","2023-07-24","8","17","7",NULL
"25","2023-10-24","4","14","17",NULL
"26","2024-06-09","1","16","16",NULL
"27","2024-06-26","3","8","15",NULL
"28","2024-06-15","3","15","7",NULL
"29","2024-07-06","3","23","16",NULL
"30","2024-02-06","24","9","19",NULL
"31","2023-07-04","5","10","8",NULL
"32","2023-05-02","5","6","9",NULL
"33","2024-11-11","18","24","20",NULL
"34","2023-08-13","18","3","18",NULL
"35","2023-10-27","18","23","7",NULL
"36","2023-03-15","9","16","1",NULL
"37","2023-09-12","9","23","5",NULL
"38","2024-02-01","18","24","7",NULL
"39","2024-02-09","25","20","17",NULL
"40","2024-04-21","2","20","20",NULL
"41","2024-06-26","6","5","6",NULL
"42","2023-08-04","6","15","7",NULL
"43","2023-03-17","14","25","8",NULL
"44","2024-07-07","15","4","13",NULL
"45","2023-04-06","7","1","8",NULL
"46","2023-08-03","7","22","17",NULL
"47","2023-05-24","10","19","5",NULL
"48","2024-05-08","10","12","12",NULL
"49","2024-01-09","10","22","17",NULL
"50","2024-10-11","3","8","10",NULL
"51","2023-01-17","3","6","14",NULL
"52","2023-02-03","14","25","17",NULL
"53","2023-06-26","14","18","14",NULL
"54","2024-09-22","5","10","9",NULL
"55","2023-11-02","8","17","11",NULL
"56","2024-10-09","8","17","2",NULL
"57","2024-11-06","8","11","2",NULL
"58","2023-11-13","8","12","12",NULL
"59","2023-07-29","8","23","14",NULL
"60","2024-09-22","8","6","6",NULL
"61","2023-09-16","4","14","1",NULL
"62","2023-06-23","23","24","6",NULL
