"ProveedorID","NombreProveedor","Contacto","Email","Pais"
"1","Talleres El Rápido","María Sánchez","info@tallereselrapido.com","España"
"2","PowerEngine Parts","Javier Torres","ventas@powerengine.com","Panamá"
"3","Turbo Auto S.A.","Andrea Díaz","info@turboauto.com","Colombia"
"4","Repuestos Globales","Roberto Peña","contacto@repuestosglobales.com","Argentina"
"5","Frenos y Más","Carmen Medina","ventas@frenosymas.com","México"
"6","Lubricantes del Sur","Diego Vargas","info@lubricantesdelsur.com","Chile"
"7","Baterías Duramax","Elena Castro","pedidos@bateriasduramax.com","Perú"
"8","Neumáticos Seguros","Fernando Herrera","ventas@neumaticosseguros.com","Ecuador"
"9","Accesorios AutoPlus","Gabriela Jiménez","contacto@accesoriosautoplus.com","Costa Rica"
"10","Pinturas Automotrices","Hugo Morales","info@pinturasautomotrices.com","Guatemala"
"11","Electrónica Vehicular","Isabel Núñez","ventas@electronicavehicular.com","El Salvador"
"12","Radiadores MaxCool","Jorge Ortega","pedidos@radiadoresmaxcool.com","Honduras"
"13","Suspensión Total","Karla Pérez","contacto@suspensiontotal.com","Nicaragua"
"14","Transmisiones Expertas","Leonardo Quirós","info@transmisionexperta.com","Bolivia"
"15","Alarmas y Seguridad","Mónica Ríos","ventas@alarmasyseguridad.com","Paraguay"
"16","Tapicería Fina","Natalia Silva","pedidos@tapiceriafina.com","República Dominicana"
"17","Cristales AutoClaros","Oscar Torres","contacto@cristalesautoclaros.com","Puerto Rico"
"18","Herramientas del Mecánico","Patricia Ulloa","info@herramientasdelmecanico.com","Cuba"
"19","Equipos de Diagnóstico","Ricardo Valdés","ventas@equiposdediagnostico.com","Portugal"
"20","Iluminación Vehicular","Sara Vega","pedidos@iluminacionvehicular.com","Italia"
"21","Sistemas de Escape","Tomás Ximénez","contacto@sistemasdeescape.com","Francia"
"22","Refrigeración AutoFrío","Úrsula Yáñez","info@refrigeracionautofrio.com","Alemania"
"23","Componentes Eléctricos","Víctor Zúñiga","ventas@componenteselectricos.com","Estados Unidos"
"24","Aditivos y Químicos","Wendy Álvarez","pedidos@aditivosyquimicos.com","Canadá"
"25","Refacciones de Motor","Xavier Barrios","contacto@refaccionesdemotor.com","Reino Unido"
